filename,sentence,age range,gender
001.mp3,Ennaku zino mpulira njagala nnyo okulya ebinyeebwa ebisiike.,40-35,f
002.mp3,Tugende e Makindye tulabe abayimbi n'abazannyi ba katemba abalungi.,40-35,f
003.mp3,Emmere etali nsiike ebeera nnungi eri emibiri gyaffe kuba tebaamu butwa.,40-35,f
004.mp3,Abawala abalungi baagalwa buli muntu naye abasinga tebabeera na mpisa.,40-35,f
005.mp3,Wali obaddeko awo n'owulira ng'omutwe guli nga ogukwetooloora?,40-35,f
006.mp3,Abayizi abatuula mu maaso batera okuba nga bategeera mangu ebibeera bisomesabwa.,40-35,f
007.mp3,Abagenda okuvuganya mu kalulu balina okweyisa obulungi basobole okufuna obululu.,40-35,f
008.mp3,Obadde okimanyi nti emmotoka ensangi zino si za buseere nga edda?,40-35,f
009.mp3,Leero nze agenda okkugulira ekyemisana n'ekyeggulo.,40-35,f
010.mp3,Omubaka w'ekitundu kino afuddeyo okulaba nga abaana basoma basobole okufuna emirimu.,40-35,f
011.mp3,Olunaku lwe twasanga omusezi nga tuva mu ndongo sirirwerabira obulamu bwange bwonna.,40-35,f
012.mp3,Taata w'abaana bange ennaku zino adda kiro ate agenda tebunnakya.,40-35,f
013.mp3,Omusumba yabadde tannalinnya ku kituuku enkuba n'etandika okutonnya.,40-35,f
014.mp3,Embaata kinyonyi kirungi naye tekirundika mu kifo kifunda nga wano.,40-35,f
015.mp3,Omuwala agenda okufumbirwa oteekwa okutuukiriza emikolo gino nga obuwangwa bwe buganda.,40-35,f
016.mp3,Oteekwa okufaayo ennyo ku lulimi lw'okozesa mu banno naddala nga oli mu baana abato.,40-35,f
017.mp3,Okulima ensangi zino tekukyalimu nnyo ssete nga bwe kyali edda mu mirembe egyasooka.,40-35,f
018.mp3,Obadde okimanyi nti ebitone okugeza okuzannya akapiira birimu nnyo ssente?,40-35,f
019.mp3,Gendako e Kampala olabe abantu bwe batuuyana okufuna ssente ekiro n'emisana.,40-35,f
020.mp3,Okusooka buli muntu yali amanyi nti omusajja oyo tazaala naye kati alina abaana basatu.,40-35,f
021.mp3,Nze omuntu ayogera nga nsomesa mpulira nga njagala kumukuba.,40-35,f
